Date,Open,High,Low,Close,Volume
2020-04-09,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-13,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-14,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-15,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-16,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-17,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-20,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-21,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-22,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-23,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-24,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-27,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-28,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-29,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-04-30,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-01,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-04,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-05,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-07,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-08,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-11,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-12,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-13,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-14,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-15,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-18,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
2020-05-19,4.389999866485596,4.389999866485596,4.389999866485596,4.389999866485596,0.0
